Наименование^Смеситель для ванны Ledeme H19 L2719,Категория^smesiteli,Артикул^L2719,Коллекция^H19,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для ванны,Управление^Двухвентильные,Стиль^Классика,Цвет^Хром,Форма излива^Нижний,Функции излива^Поворотный,Длина излива^30 см,Размер излива^Длинный,Способ монтажа^Настенные,Тип подводки^Жесткая подводка,Тип картриджа^Керамическая кран-букса,Переключение на душ^Поворотное,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"В комплекте^Душевая лейка, Держатель лейки, Комплект отражателей, Комплект эксцентриков","images_path^./images/smesiteli//L2719/smesitel-ledeme-h19-l27191.jpg,./images/smesiteli//L2719/smesitel-dlya-vanny-ledeme-l2719030.jpg"
Наименование^Смеситель для биде Ledeme H01 L5001,Категория^smesiteli,Артикул^L5001,Коллекция^H01,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для биде,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Высота излива^Низкий,Функции излива^Стационарный,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 40 мм,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L5001/smesitel-ledeme-h01-l50011.jpg,./images/smesiteli//L5001/smesitel-dlya-bide-ledeme-l5001030.jpg"
Наименование^Смеситель для ванны Ledeme H14 L2114,Категория^smesiteli,Артикул^L2114,Коллекция^H14,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для ванны,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Форма излива^Нижний,Функции излива^Поворотный,Длина излива^30 см,Размер излива^Длинный,Способ монтажа^Настенные,Тип подводки^Жесткая подводка,Тип картриджа^Керамический 35 мм,Переключение на душ^Поворотное,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"В комплекте^Душевая лейка, Держатель лейки, Комплект отражателей, Комплект эксцентриков","images_path^./images/smesiteli//L2114/smesitel-ledeme-h14-l21141.jpg,./images/smesiteli//L2114/smesitel-dlya-vanny-ledeme-l2114030.jpg"
Наименование^Смеситель для ванны Ledeme H19 L3019,Категория^smesiteli,Артикул^L3019,Коллекция^H19,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для ванны,Управление^Двухвентильные,Стиль^Ретро,Цвет^Хром,Форма излива^Нижний,Функции излива^Стационарный,Размер излива^Короткий,Способ монтажа^Настенные,Тип подводки^Жесткая подводка,Тип картриджа^Керамическая кран-букса,Переключение на душ^Поворотное,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"В комплекте^Душевая лейка, Держатель лейки, Комплект отражателей, Комплект эксцентриков","images_path^./images/smesiteli//L3019/smesitel-ledeme-h19-l30191.jpg,./images/smesiteli//L3019/smesitel-dlya-vanny-ledeme-l3019030.jpg"
Наименование^Смеситель для ванны Ledeme H36 L2136,Категория^smesiteli,Артикул^L2136,Коллекция^H36,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для ванны,Управление^Однорычажные,Стиль^Современные,Цвет^Хром,Форма излива^Нижний,Функции излива^Поворотный,Длина излива^30 см,Размер излива^Длинный,Способ монтажа^Настенные,Тип подводки^Жесткая подводка,Тип картриджа^Керамический 35 мм,Переключение на душ^Поворотное,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"В комплекте^Душевая лейка, Держатель лейки, Комплект отражателей, Комплект эксцентриков","images_path^./images/smesiteli//L2136/smesitel-ledeme-h36-l21361.jpg,./images/smesiteli//L2136/smesitel-dlya-vanny-ledeme-l2136030.jpg"
Наименование^Смеситель для раковины Ledeme H11 L1011,Категория^smesiteli,Артикул^L1011,Коллекция^H11,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для раковины,Управление^Двухвентильные,Стиль^Классика,Цвет^Хром,Высота излива^Низкий,Функции излива^Поворотный,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На шпильке",Тип подводки^Гибкая подводка,Тип картриджа^Керамическая кран-букса,Система быстрого монтажа^Есть,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,"images_path^./images/smesiteli//L1011/smesitel-ledeme-h11-l10111.jpg,./images/smesiteli//L1011/smesitel-dlya-rakoviny-ledeme-l10110011.jpg,./images/smesiteli//L1011/smesitel-dlya-rakoviny-ledeme-l10110021.jpg,./images/smesiteli//L1011/smesitel-dlya-rakoviny-ledeme-l10110031.jpg,./images/smesiteli//L1011/smesitel-dlya-rakoviny-ledeme-l10110041.jpg,./images/smesiteli//L1011/smesitel-dlya-rakoviny-ledeme-l10110051.jpg,./images/smesiteli//L1011/smesitel-dlya-rakoviny-ledeme-l10110061.jpg,./images/smesiteli//L1011/smesitel-dlya-rakoviny-ledeme-l10110071.jpg,./images/smesiteli//L1011/smesitel-dlya-rakoviny-ledeme-l1011030.jpg"
Наименование^Смеситель для кухни с гибким изливом Ledeme  L4153-8,Категория^smesiteli,Артикул^L4153-8,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Назначение^Для кухни,Управление^Однорычажные,Форма смесителя^Округлые,Стиль^Современные,Цвет^Хром,Высота излива^Высокий,Функции излива^С гибким изливом,Размер излива^Длинный,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,В комплекте^Гибкая подводка 1/2,"images_path^./images/smesiteli//L4153-8/smesitel-dlya-kukhni-ledeme-l4153-8020.jpg,./images/smesiteli//L4153-8/smesitel-dlya-kukhni-ledeme-l4153-8030.jpg"
Наименование^Смеситель для кухни с гибким изливом Ledeme  L4153-7,Категория^smesiteli,Артикул^L4153-7,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Назначение^Для кухни,Управление^Однорычажные,Форма смесителя^Округлые,Стиль^Современные,"Цвет^Хром, Оранжевые",Высота излива^Высокий,Функции излива^С гибким изливом,Размер излива^Длинный,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,В комплекте^Гибкая подводка 1/2,"images_path^./images/smesiteli//L4153-7/smesitel-dlya-kukhni-ledeme-l4153-7020.jpg,./images/smesiteli//L4153-7/smesitel-dlya-kukhni-ledeme-l4153-7030.jpg"
Наименование^Смеситель для кухни с гибким изливом Ledeme  L4153-6,Категория^smesiteli,Артикул^L4153-6,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Назначение^Для кухни,Управление^Однорычажные,Форма смесителя^Округлые,Стиль^Современные,Цвет^Хром,Высота излива^Высокий,Функции излива^С гибким изливом,Размер излива^Длинный,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,В комплекте^Гибкая подводка 1/2,"images_path^./images/smesiteli//L4153-6/smesitel-dlya-kukhni-ledeme-l4153-6020.jpg,./images/smesiteli//L4153-6/smesitel-dlya-kukhni-ledeme-l4153-6030.jpg"
Наименование^Смеситель для кухни с гибким изливом Ledeme  L4153-5,Категория^smesiteli,Артикул^L4153-5,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Назначение^Для кухни,Управление^Однорычажные,Форма смесителя^Округлые,Стиль^Современные,"Цвет^Хром, Зеленые",Высота излива^Высокий,Функции излива^С гибким изливом,Размер излива^Длинный,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,В комплекте^Гибкая подводка 1/2,"images_path^./images/smesiteli//L4153-5/smesitel-dlya-kukhni-ledeme-l4153-5020.jpg,./images/smesiteli//L4153-5/smesitel-dlya-kukhni-ledeme-l4153-5030.jpg"
Наименование^Смеситель для кухни с гибким изливом Ledeme  L4153-4,Категория^smesiteli,Артикул^L4153-4,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Назначение^Для кухни,Управление^Однорычажные,Форма смесителя^Округлые,Стиль^Современные,Цвет^Хром,Высота излива^Высокий,Функции излива^С гибким изливом,Размер излива^Длинный,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,В комплекте^Гибкая подводка 1/2,"images_path^./images/smesiteli//L4153-4/smesitel-dlya-kukhni-ledeme-l4153-4020.jpg,./images/smesiteli//L4153-4/smesitel-dlya-kukhni-ledeme-l4153-4030.jpg"
Наименование^Смеситель для кухни с гибким изливом Ledeme  L4153-3,Категория^smesiteli,Артикул^L4153-3,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Назначение^Для кухни,Управление^Однорычажные,Форма смесителя^Округлые,Стиль^Современные,"Цвет^Хром, Белый/хром, Белые",Высота излива^Высокий,Функции излива^С гибким изливом,Размер излива^Длинный,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,В комплекте^Гибкая подводка 1/2,"images_path^./images/smesiteli//L4153-3/smesitel-dlya-kukhni-ledeme-l4153-3020.jpg,./images/smesiteli//L4153-3/smesitel-dlya-kukhni-ledeme-l4153-3030.jpg"
Наименование^Смеситель для кухни с гибким изливом Ledeme  L4153-2,Категория^smesiteli,Артикул^L4153-2,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Назначение^Для кухни,Управление^Однорычажные,Форма смесителя^Округлые,Стиль^Современные,"Цвет^Хром, Черные",Высота излива^Высокий,Функции излива^С гибким изливом,Размер излива^Длинный,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,В комплекте^Гибкая подводка 1/2,"images_path^./images/smesiteli//L4153-2/smesitel-dlya-kukhni-ledeme-l4153-2020.jpg,./images/smesiteli//L4153-2/smesitel-dlya-kukhni-ledeme-l4153-2030.jpg"
Наименование^Смеситель для кухни с гибким изливом Ledeme  L4153-1,Категория^smesiteli,Артикул^L4153-1,Размеры (см.)^–x–x– см.,Гарантийный срок^1 год,Назначение^Для кухни,Управление^Однорычажные,Форма смесителя^Округлые,Стиль^Современные,"Цвет^Хром, Красные",Высота излива^Высокий,Функции излива^С гибким изливом,Размер излива^Длинный,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Тип картриджа^Керамический 35 мм,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Латунь,В комплекте^Гибкая подводка 1/2,"images_path^./images/smesiteli//L4153-1/smesitel-dlya-kukhni-ledeme-l4153-1020.jpg,./images/smesiteli//L4153-1/smesitel-dlya-kukhni-ledeme-l4153-1030.jpg"
Наименование^Смеситель для раковины Ledeme H33 L71133,Категория^smesiteli,Артикул^L71133,Коллекция^H33,Размеры (см.)^21x29.2 см/ вынос излива 13.2 см,Гарантийный срок^1 год,Страна^Китай China,Назначение^Для раковины,Управление^Однорычажные,Форма смесителя^Квадратные,Стиль^Современные,Цвет^Сатин,Высота излива^Средний,Размер излива^Короткий,"Способ монтажа^На одно отверстие, На гайке",Тип подводки^Гибкая подводка,Система быстрого монтажа^Нет,Присоединительный размер^1/2,Особенности^С аэратором,Материал^Нержавеющая сталь,В комплекте^Гибкая подводка 1/2,"images_path^./images/smesiteli//L71133/smesitel-dlya-rakoviny-ledeme-l71133003.jpg,./images/smesiteli//L71133/smesitel-dlya-rakoviny-ledeme-l71133004.jpg,./images/smesiteli//L71133/smesitel-dlya-rakoviny-ledeme-l71133005.jpg,./images/smesiteli//L71133/smesitel-dlya-rakoviny-ledeme-l71133006.jpg,./images/smesiteli//L71133/smesitel-dlya-rakoviny-ledeme-l71133007.jpg,./images/smesiteli//L71133/smesitel-dlya-rakoviny-ledeme-l71133008.jpg,./images/smesiteli//L71133/smesitel-dlya-rakoviny-ledeme-l71133009.jpg,./images/smesiteli//L71133/smesitel-dlya-rakoviny-ledeme-l71133010.jpg,./images/smesiteli//L71133/smesitel-dlya-rakoviny-ledeme-l71133011.jpg,./images/smesiteli//L71133/smesitel-dlya-rakoviny-ledeme-l71133020.jpg"
